date,stream,swe_mm_we,snow_density_kg_m3
2003-07-06,final,0.000000,100.0000
2003-07-07,final,0.000000,100.0000
2003-07-08,final,0.000000,100.0000
2003-07-09,final,0.000000,100.0000
2003-07-10,final,0.000000,100.0000
2003-07-11,final,0.000000,100.0000
2003-07-12,final,0.000000,100.0000
2003-07-13,final,0.000000,100.0000
2003-07-14,final,0.000000,100.0000
2003-07-15,final,0.000000,100.0000
2003-07-16,final,0.000000,100.0000
2003-07-17,final,0.000000,100.0000
2003-07-18,final,0.000000,100.0000
2003-07-19,final,0.000000,100.0000
2003-07-20,final,0.000000,100.0000
2003-07-21,final,0.000000,100.0000
2003-07-22,final,0.000000,100.0000
2003-07-23,final,0.000000,100.0000
2003-07-24,final,0.000000,100.0000
2003-07-25,final,0.000000,100.0000
2003-07-26,final,0.000000,100.0000
2003-07-27,final,0.000000,100.0000
2003-07-28,final,0.000000,100.0000
2003-07-29,final,0.000000,100.0000
2003-07-30,final,0.000000,100.0000
2003-07-31,final,0.000000,100.0000
2003-08-01,final,0.000000,100.0000
2003-08-02,final,0.000000,100.0000
2003-08-03,final,0.000000,100.0000
2003-08-04,final,0.000000,100.0000
2003-08-05,final,0.000000,100.0000
2003-08-06,final,0.000000,100.0000
2003-08-07,final,0.000000,100.0000
2003-08-08,final,0.000000,100.0000
2003-08-09,final,0.000000,100.0000
2003-08-10,final,0.000000,100.0000
2003-08-11,final,0.000000,100.0000
2003-08-12,final,0.000000,100.0000
2003-08-13,final,0.000000,100.0000
2003-08-14,final,0.000000,100.0000
2003-08-15,final,0.000000,100.0000
2003-08-16,final,0.000000,100.0141
2003-08-17,final,0.019822,100.4011
2003-08-18,final,0.006033,100.2588
2003-08-19,final,0.002154,100.2591
2003-08-20,final,0.000000,100.0000
2003-08-21,final,0.000000,100.0000
2003-08-22,final,0.000000,100.0000
2003-08-23,final,0.000000,100.0000
2003-08-24,final,0.000000,100.0000
2003-08-25,final,0.000000,100.0000
2003-08-26,final,0.000000,100.0000
2003-08-27,final,0.000000,100.0000
2003-08-28,final,0.000000,100.0000
2003-08-29,final,0.000000,100.0000
2003-08-30,final,0.000000,100.0000
2003-08-31,final,0.000000,100.0665
2003-09-01,final,0.000000,100.0000
2003-09-02,final,0.000000,100.0000
