group,water_years,month,month_number,slot,cell_id,merra_latitude,merra_longitude,pooled_modis_fsca_fraction,masked_modis_fsca_below_0_1,normalized_mean_bias_pct,mean_annual_nmb_pct,n_water_years,degrees_of_freedom,t_statistic,two_sided_p_value,two_sided_p_lt_0_05
Wet,"2011,2017,2019,2023",November,11,39,MERRA2_i258_j121,39.0,-104.375,0.01265610295361465,True,33.762646687677645,3557.642534779367,4,3,,,False
Wet,"2011,2017,2019,2023",November,11,40,MERRA2_i259_j114,39.5,-108.75,0.1881944623058546,False,-73.38092711163605,-71.68105729480902,4,3,-19.72439561516899,0.00028474461874768674,True
Wet,"2011,2017,2019,2023",November,11,41,MERRA2_i259_j115,39.5,-108.125,0.1849495761672421,False,-46.43272982468118,-11.623188748704438,4,3,-0.2890046099479695,0.7913981778451661,False
Wet,"2011,2017,2019,2023",November,11,42,MERRA2_i259_j116,39.5,-107.5,0.2989175494075167,False,-31.122844311001213,-26.23766525125593,4,3,-2.3764034297149026,0.09793542466052325,False
Wet,"2011,2017,2019,2023",November,11,43,MERRA2_i259_j117,39.5,-106.875,0.3671976595667437,False,-28.17359109802792,-27.358773364235773,4,3,-2.2829673575305205,0.10664366868773256,False
Wet,"2011,2017,2019,2023",November,11,44,MERRA2_i259_j118,39.5,-106.25,0.6671197227202392,False,-46.11066063863157,-48.09099477809549,4,3,-5.0581202913840535,0.01491198916775339,True
Wet,"2011,2017,2019,2023",November,11,45,MERRA2_i259_j119,39.5,-105.625,0.3103440351601834,False,-36.828641706966536,-40.170255032879936,4,3,-3.1314647005864145,0.05200641707963556,False
Wet,"2011,2017,2019,2023",November,11,46,MERRA2_i259_j120,39.5,-105.0,0.02931945749160381,True,27.245883082881406,1118.2923043235237,4,3,,,False
Wet,"2011,2017,2019,2023",November,11,47,MERRA2_i259_j121,39.5,-104.375,0.008050687594499244,True,153.8839496816808,1694.7038206474983,3,2,,,False
Wet,"2011,2017,2019,2023",November,11,48,MERRA2_i260_j114,40.0,-108.75,0.2187766742693385,False,-77.65511337378207,-70.43548104764055,4,3,-12.04385464524926,0.0012316845550199012,True
Wet,"2011,2017,2019,2023",November,11,49,MERRA2_i260_j115,40.0,-108.125,0.23113415499277726,False,-61.15886077698671,-51.06685074578401,4,3,-3.3982678222790064,0.04251542548085204,True
Wet,"2011,2017,2019,2023",November,11,50,MERRA2_i260_j116,40.0,-107.5,0.5655608530212526,False,-47.537260204441914,-45.48619237842158,4,3,-5.999098487984894,0.009276637318517808,True
Wet,"2011,2017,2019,2023",November,11,51,MERRA2_i260_j117,40.0,-106.875,0.4589150384287736,False,-42.88608976150021,-44.97108832475139,4,3,-3.712875183092446,0.03397392059971646,True
