month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,two_sided_p_value,benjamini_hochberg_two_sided_q_value,raw_two_sided_p_lt_0_05,bh_two_sided_q_lt_0_05,water_years,alternative
November,11,37,MERRA2_i258_j119,39.0,-105.625,2800.2762848661123,14,13,-8.586590273574036,-2.353130981296404,0.035021069014497044,0.0458457630735234,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,38,MERRA2_i258_j120,39.0,-105.0,2490.158779910293,14,13,-8.714887126099464,-3.3896879912753457,0.004837227922472707,0.007915463873137157,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,39,MERRA2_i258_j121,39.0,-104.375,1982.2155673833213,14,13,-0.9606781251023404,-1.0918416891490188,0.2947249018894381,0.336828459302215,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,40,MERRA2_i259_j114,39.5,-108.75,2085.661016962659,14,13,-9.433440401171804,-4.646524748600776,0.00045739175144178556,0.001135593313924433,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,41,MERRA2_i259_j115,39.5,-108.125,2196.5933863488303,14,13,-7.877518660274246,-3.166824163188052,0.007427130888374949,0.01162507443397818,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,42,MERRA2_i259_j116,39.5,-107.5,2400.0384499158567,14,13,-12.557836743417143,-6.207523134506383,3.180357152916684e-05,0.00012721428611666736,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,43,MERRA2_i259_j117,39.5,-106.875,2633.919937024972,14,13,-12.805704099049947,-5.849350637259667,5.691421515087366e-05,0.0001951344519458525,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,44,MERRA2_i259_j118,39.5,-106.25,3254.665451851753,14,13,-34.337878245179255,-11.430792393167964,3.734820771058332e-08,1.3445354775809994e-06,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,45,MERRA2_i259_j119,39.5,-105.625,3053.0094584120475,14,13,-14.499088249195834,-5.257432988287591,0.00015485564497981318,0.000445984257541862,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,46,MERRA2_i259_j120,39.5,-105.0,1961.0965838367633,14,13,-4.09072201976249,-1.7197804531918883,0.10917351659466132,0.1332286982172138,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,47,MERRA2_i259_j121,39.5,-104.375,1808.7792639044665,14,13,-3.54540179849323,-1.5115671599910794,0.15456611851270904,0.18547934221525084,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,48,MERRA2_i260_j114,40.0,-108.75,1927.048761447208,14,13,-8.342753593998028,-2.7762071754708066,0.015729740645405887,0.022206692675867137,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,49,MERRA2_i260_j115,40.0,-108.125,2104.4218107354122,14,13,-9.256721317771923,-3.569747869847414,0.0034244515010891747,0.005870488287581442,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,50,MERRA2_i260_j116,40.0,-107.5,2723.6856576852583,14,13,-32.91300381828914,-11.847353212848894,2.4362368975738255e-08,1.3445354775809994e-06,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,51,MERRA2_i260_j117,40.0,-106.875,2724.43157780741,14,13,-21.605117022480137,-7.483364023445399,4.6081574712789345e-06,3.317873379320833e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,52,MERRA2_i260_j118,40.0,-106.25,2702.5972164633613,14,13,-17.20939620599125,-4.509538788762154,0.0005869572696379845,0.0014086974471311628,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,53,MERRA2_i260_j119,40.0,-105.625,2863.9971152444764,14,13,-27.46129213136738,-10.945182030841426,6.24898380570517e-08,1.4997561133692409e-06,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,54,MERRA2_i260_j120,40.0,-105.0,1621.5435204494975,14,13,-0.7187138863902673,-0.47549722965747315,0.6423230471873436,0.700716051477102,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,55,MERRA2_i260_j121,40.0,-104.375,1522.5828024624645,14,13,-3.07179512358681,-1.7999776522186979,0.09510261694501297,0.12012962140422691,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,56,MERRA2_i261_j114,40.5,-108.75,2048.9312863925375,14,13,-10.946891535838917,-3.7354805341870874,0.0024955090908620556,0.004417395302371549,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,57,MERRA2_i261_j115,40.5,-108.125,1965.5353978139033,14,13,-11.844339370054145,-3.063151144304065,0.009067580777223118,0.013601371165834675,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,58,MERRA2_i261_j116,40.5,-107.5,2107.791527146766,14,13,-1.6206591968614057,-0.43518463824467213,0.6705660470613721,0.720608289379385,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,59,MERRA2_i261_j117,40.5,-106.875,2503.249935644131,14,13,-22.509777220085983,-6.9159945177145,1.0594262116419668e-05,5.8370269285492246e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,60,MERRA2_i261_j118,40.5,-106.25,2710.986315146349,14,13,-15.602740960468338,-4.16837172637014,0.0011027290565497202,0.0022684712020451386,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,61,MERRA2_i261_j119,40.5,-105.625,2863.8484124951624,14,13,-20.92743287138925,-7.280529635954443,6.176220514265966e-06,4.0426170638831775e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,62,MERRA2_i261_j120,40.5,-105.0,1612.870672365783,14,13,0.6516000022401941,0.49231062365358547,0.6307092017379436,0.698631731155876,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,63,MERRA2_i261_j121,40.5,-104.375,1460.0069473534136,14,13,0.19818723880762817,0.1585356846125083,0.8764709933691224,0.8764709933691224,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,64,MERRA2_i262_j114,41.0,-108.75,2182.868326985644,14,13,-13.105058055451755,-3.7312986903473226,0.002515461213850465,0.004417395302371549,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,65,MERRA2_i262_j115,41.0,-108.125,2027.287763586794,14,13,-12.960972020848272,-2.6305627087459644,0.020765188964920325,0.028751800105274297,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,66,MERRA2_i262_j116,41.0,-107.5,2197.076391058642,14,13,-12.094648092587034,-2.9241293721905817,0.011846190159238516,0.01740664676459537,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,67,MERRA2_i262_j117,41.0,-106.875,2671.1548611205653,14,13,-26.404925530218414,-7.110417582210139,7.927777205221268e-06,4.7566663231327603e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,68,MERRA2_i262_j118,41.0,-106.25,2610.309124740614,14,13,-8.662515114371669,-2.387996401911554,0.03281372394106886,0.043751631921425144,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,69,MERRA2_i262_j119,41.0,-105.625,2436.1333624152535,14,13,-10.261044315200477,-2.3959608442949936,0.032328475573309666,0.043751631921425144,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,70,MERRA2_i262_j120,41.0,-105.0,1930.031616094228,14,13,0.3083118025984626,0.19674320865077047,0.8470709726662843,0.8712730004567495,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
November,11,71,MERRA2_i262_j121,41.0,-104.375,1650.6154523714706,14,13,0.22039277071199756,0.2605793876023398,0.7984988943253094,0.8454694175209159,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,0,MERRA2_i254_j114,37.0,-108.75,1683.9430638942265,14,13,4.316205008852735,3.2138030922391017,0.006784881955539684,0.01436798531761345,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
