month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,one_sided_p_value_negative,benjamini_hochberg_q_value,raw_p_lt_0_05,bh_q_lt_0_05,water_years,alternative
November,11,54,MERRA2_i260_j120,40.0,-105.0,1621.5435204494975,14,13,-0.7187138863902673,-0.47549722965747315,0.3211615235936718,0.3853938283124061,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,55,MERRA2_i260_j121,40.0,-104.375,1522.5828024624645,14,13,-3.07179512358681,-1.7999776522186979,0.047551308472506486,0.06459800396265032,True,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,56,MERRA2_i261_j114,40.5,-108.75,2048.9312863925375,14,13,-10.946891535838917,-3.7354805341870874,0.0012477545454310278,0.0023219641974004295,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,57,MERRA2_i261_j115,40.5,-108.125,1965.5353978139033,14,13,-11.844339370054145,-3.063151144304065,0.004533790388611559,0.007418929726818914,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,58,MERRA2_i261_j116,40.5,-107.5,2107.791527146766,14,13,-1.6206591968614057,-0.43518463824467213,0.33528302353068606,0.3957438966263836,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,59,MERRA2_i261_j117,40.5,-106.875,2503.249935644131,14,13,-22.509777220085983,-6.9159945177145,5.297131058209834e-06,2.9185134642746123e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,60,MERRA2_i261_j118,40.5,-106.25,2710.986315146349,14,13,-15.602740960468338,-4.16837172637014,0.0005513645282748601,0.0012029771525996946,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,61,MERRA2_i261_j119,40.5,-105.625,2863.8484124951624,14,13,-20.92743287138925,-7.280529635954443,3.088110257132983e-06,2.0213085319415888e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,62,MERRA2_i261_j120,40.5,-105.0,1612.870672365783,14,13,0.6516000022401941,0.49231062365358547,0.6846453991310282,0.735738339364687,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,63,MERRA2_i261_j121,40.5,-104.375,1460.0069473534136,14,13,0.19818723880762817,0.1585356846125083,0.5617645033154388,0.6319850662298687,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,64,MERRA2_i262_j114,41.0,-108.75,2182.868326985644,14,13,-13.105058055451755,-3.7312986903473226,0.0012577306069252326,0.0023219641974004295,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
